item_id,restaurant_id,name,category,price,is_veg,popularity_score,rating,num_ratings,is_available,margin,is_promotional,is_new
item_0,rest_0,Japanese Soup,appetizer,176.88,True,0.12353289402187063,,0,True,0.209494921881807,False,True
item_1,rest_0,Japanese Raita,side,140.52,False,0.33068342002331186,,0,True,0.416050071270343,False,True
item_2,rest_0,Japanese Juice,beverage,41.4,False,0.28605727532183806,,0,True,0.2017871281110661,False,True
item_3,rest_0,Japanese Salad,side,147.06,True,0.16183168400268785,,0,True,0.3723983263826871,False,True
item_4,rest_0,Japanese Pizza,main,549.52,False,0.5881652745342024,4.253750841167397,453,True,0.3853491855985013,False,False
item_5,rest_0,Japanese Brownie,dessert,210.14,True,0.8716412517479089,4.064975136883925,239,True,0.477146103455346,False,False
item_6,rest_0,Japanese Brownie,dessert,115.14,True,0.9086726954069548,4.2024741344074386,296,True,0.354244293802537,False,False
item_7,rest_0,Japanese Sushi,main,568.57,False,0.8605044105179382,3.652950805659258,377,True,0.24940593056492594,False,False
item_8,rest_0,Japanese Garlic Bread,side,107.65,False,0.8785091397344875,3.698767829388117,132,True,0.25955267482777816,False,False
item_9,rest_0,Japanese Curry,main,471.75,True,0.8262794739606221,3.989009117335948,460,True,0.3443484198510329,False,False
item_10,rest_0,Japanese Lassi,beverage,94.07,False,0.5273581369205291,4.3254673206544725,435,True,0.4382687999105357,False,False
item_11,rest_0,Japanese Pasta,main,431.12,False,0.9904873057911849,3.528665244204909,173,True,0.2252321103521691,True,False
item_12,rest_0,Japanese Pizza,main,503.53,False,0.8872755513621339,3.848567079799601,304,True,0.4316094360970009,False,False
item_13,rest_0,Japanese Pasta,main,574.29,False,0.8445933562099697,4.166119575960831,435,True,0.48095866150422967,False,False
item_14,rest_0,Japanese Biryani,main,468.19,False,0.943177090172088,4.3530745667060415,418,True,0.46528923108499814,False,False
item_15,rest_0,Japanese Brownie,dessert,203.86,False,0.5468400014857226,3.8190069971882927,27,True,0.4133484547538488,False,False
item_16,rest_0,Japanese Tiramisu,dessert,117.24,False,0.6298942776379206,4.570376707267115,24,True,0.2471223004075739,False,False
item_17,rest_1,Japanese Biryani,main,527.11,False,0.9775775962923303,4.898214531888211,322,True,0.4343540452986728,False,False
item_18,rest_1,Japanese Tiramisu,dessert,122.05,False,0.8601829676671304,4.051530137288326,187,True,0.2568114087220499,False,False
item_19,rest_1,Japanese Bruschetta,appetizer,181.38,True,0.9035501735128297,3.7117703967405773,390,True,0.4394137514531775,False,False
item_20,rest_1,Japanese Cheesecake,dessert,115.41,False,0.7855954867666934,4.787212324017326,372,True,0.3030504637638105,False,False
item_21,rest_1,Japanese Garlic Bread,side,134.55,False,0.7815539588172611,4.701820064179145,99,True,0.4709011585926055,False,False
item_22,rest_1,Japanese Samosa,appetizer,172.44,True,0.8104518349945139,3.577232240956983,288,True,0.36562864589085153,True,False
item_23,rest_1,Japanese Sushi,main,484.82,True,0.6064517285479483,4.033541475505467,122,True,0.21632527921275935,False,False
item_24,rest_1,Japanese Brownie,dessert,176.94,True,0.5286761585712056,3.608683598270512,329,True,0.442103178886476,True,False
item_25,rest_1,Japanese Salad,side,75.5,True,0.7098866262012122,3.594718909547016,62,True,0.22495997064557954,False,False
item_26,rest_1,Japanese Tacos,main,448.36,False,0.7640937634818924,3.6190369796159696,482,True,0.2857002099083912,False,False
item_27,rest_1,Japanese Pepsi,beverage,48.79,False,0.9805210146413024,3.6803513049996006,295,True,0.47093136539852126,False,False
item_28,rest_1,Japanese Tiramisu,dessert,105.38,False,0.9600695957879253,3.8821402015928714,228,True,0.33967199173812257,False,False
item_29,rest_1,Japanese Biryani,main,465.17,False,0.7431776879230343,4.730507895833151,285,True,0.4658739712131659,False,False
item_30,rest_1,Japanese Bruschetta,appetizer,162.32,True,0.7667494063383862,4.495575351708094,130,True,0.23462446527747766,False,False
item_31,rest_1,Japanese Samosa,appetizer,127.89,False,0.5930036299830366,4.752355370776481,358,True,0.2947222599137582,False,False
item_32,rest_1,Japanese Fries,side,67.07,False,0.6308194289315225,4.725050581020149,21,True,0.43695985075435717,False,False
item_33,rest_1,Japanese Soup,appetizer,181.13,False,0.9759322430371256,4.488103079044407,240,True,0.28591300428237904,False,False
item_34,rest_1,Japanese Lassi,beverage,44.02,False,0.7892415832669588,3.9420222129590625,245,True,0.34536314929452494,False,False
item_35,rest_2,American Chicken Wings,appetizer,83.57,False,0.5032381846140045,3.978825729372139,363,True,0.4353916979474066,False,False
item_36,rest_2,American Tea,beverage,22.36,True,0.6490986725544552,3.7064379776131537,10,False,0.2391011342003812,False,False
item_37,rest_2,American Noodles,main,220.43,False,0.6236442414828696,4.554587325454374,113,True,0.43198841364469276,True,False
item_38,rest_2,American Pasta,main,194.85,False,0.5698434564603599,4.72164795597277,410,False,0.4462728463866896,True,False
